Year,Month,day_of_week,hour_of_day,origin,destination,estimated_ridership
2025,1,Monday,1,11,4,0.25
2025,1,Monday,1,0,8,1
2025,1,Monday,1,4,3,0.8605
2025,1,Monday,1,0,4,0.3215
2025,1,Monday,1,11,6,0.25
2025,1,Monday,1,3,0,0.8035
2025,1,Monday,1,4,7,2.3237
2025,1,Monday,1,9,2,0.6918
2025,1,Monday,1,3,1,0.25
2025,1,Monday,1,10,8,0.25
2025,1,Monday,1,3,8,0.5
2025,1,Monday,1,3,7,0.329
2025,1,Monday,1,4,8,2.815
2025,1,Monday,1,6,0,0.25
2025,1,Monday,1,4,0,0.5855
2025,1,Monday,1,7,4,0.375
2025,1,Monday,1,6,8,0.25
2025,1,Monday,1,6,4,1.0625
2025,1,Monday,1,0,5,0.25
2025,1,Monday,1,8,10,0.8
2025,1,Monday,1,11,8,0.875
2025,1,Monday,1,4,11,0.5555
2025,1,Monday,1,9,4,0.4
2025,1,Monday,1,11,3,0.5
2025,1,Monday,1,5,7,0.3215
2025,1,Monday,1,4,2,0.3183
2025,1,Monday,1,0,2,0.5
2025,1,Monday,1,3,4,0.654
2025,1,Monday,1,0,3,0.25
2025,1,Monday,1,2,8,0.611
2025,1,Monday,1,10,4,0.25
2025,1,Monday,1,4,5,0.2673
2025,1,Monday,1,4,9,1.8817
2025,1,Monday,1,8,4,0.6875
2025,1,Monday,13,4,6,1.7865
2025,1,Monday,13,6,2,1.541
2025,1,Monday,13,7,4,3.5602
2025,1,Monday,13,2,10,3.7173
2025,1,Monday,13,1,6,0.3113
2025,1,Monday,13,10,8,0.5555
2025,1,Monday,13,0,10,1.4385
2025,1,Monday,13,10,5,1.4012
2025,1,Monday,13,8,11,10.8163
2025,1,Monday,13,5,4,3.4008
2025,1,Monday,13,2,5,6.0292
2025,1,Monday,13,8,1,1.1843
2025,1,Monday,13,10,2,4.1885
2025,1,Monday,13,10,7,1.3927
2025,1,Monday,13,4,1,3.8367
2025,1,Monday,13,7,1,0.2907
2025,1,Monday,13,6,8,0.7038
2025,1,Monday,13,6,0,1.2985
2025,1,Monday,13,9,10,0.3122
2025,1,Monday,13,2,4,7.2798
2025,1,Monday,13,5,11,6.7948
2025,1,Monday,13,7,3,6.8222
2025,1,Monday,13,5,8,1.2965
2025,1,Monday,13,11,1,1.7135
2025,1,Monday,13,0,11,2.0525
2025,1,Monday,13,10,11,1.1423
2025,3,Thursday,17,1,5,6.273
2025,1,Monday,13,6,9,1.615
2025,1,Monday,13,7,10,1.7888
2025,1,Monday,13,9,3,3.19
2025,1,Monday,13,4,5,0.5927
2025,1,Monday,13,1,8,1.247
2025,1,Monday,13,10,9,0.2858
2025,1,Monday,13,11,0,2.896
2025,1,Monday,13,3,5,2.6025
2025,1,Monday,13,0,9,1.749
2025,1,Monday,13,11,9,6.6732
2025,1,Monday,13,3,2,2.054
2025,1,Monday,13,0,2,13.9015
2025,1,Monday,13,5,10,0.8907
2025,1,Monday,13,4,11,11.0145
2025,1,Monday,13,9,5,0.6085
2025,1,Monday,13,2,7,2.3232
2025,1,Monday,13,1,3,6.6865
2025,1,Monday,13,7,9,0.918
2025,1,Monday,13,3,10,3.801
2025,1,Monday,13,1,7,1.2597
2025,1,Monday,13,3,11,3.5072
2025,1,Monday,13,9,6,1.5552
2025,1,Monday,13,1,5,0.6275
2025,1,Monday,13,1,9,0.3162
2025,1,Monday,13,7,0,1.4495
2025,1,Monday,13,3,0,8.1682
2025,1,Monday,13,4,7,6.2195
2025,1,Monday,13,4,0,5.6115
2025,1,Monday,13,8,10,1.508
2025,1,Monday,13,0,4,6.9918
2025,1,Monday,13,7,5,1.1793
2025,1,Monday,13,5,0,6.032
2025,1,Monday,13,0,7,4.91
2025,1,Monday,13,7,11,7.7455
2025,1,Monday,13,1,4,2.5145
2025,1,Monday,13,11,2,9.4453
2025,1,Monday,13,1,2,4.0712
2025,1,Monday,13,5,3,10.9275
2025,1,Monday,13,8,3,9.5648
2025,1,Monday,13,11,5,4.07
2025,1,Monday,13,9,2,4.064
2025,1,Monday,13,3,1,2.68
2025,1,Monday,13,4,8,10.5335
2025,1,Monday,13,10,4,9.582
2025,1,Monday,13,7,2,2.0658
2025,1,Monday,13,4,9,4.4952
2025,1,Monday,13,4,3,4.866
2025,1,Monday,13,3,7,2.013
2025,1,Monday,13,9,0,1.9137
2025,1,Monday,13,11,8,11.7702
2025,1,Monday,13,8,2,8.9707
2025,1,Monday,13,6,11,4.148
2025,1,Monday,13,10,1,0.8395
2025,1,Monday,13,4,2,15.2697
2025,1,Monday,13,11,7,9.7403
2025,1,Monday,13,5,7,4.3997
2025,1,Monday,13,8,5,2.6925
2025,1,Monday,13,5,2,8.183
2025,1,Monday,13,0,5,1.4935
2025,1,Monday,13,2,8,2.3212
