Year,Month,day_of_week,hour_of_day,origin,destination,estimated_ridership
2025,1,Monday,1,18,3,0.3438
2025,1,Monday,1,17,12,0.7855
2025,1,Monday,1,18,14,1.25
2025,1,Monday,1,15,3,0.3125
2025,1,Monday,1,10,14,3.0477
2025,1,Monday,1,3,11,0.25
2025,1,Monday,1,6,17,0.611
2025,1,Monday,1,15,1,0.8458
2025,1,Monday,1,12,9,0.9275
2025,1,Monday,1,9,16,0.25
2025,1,Monday,1,8,2,0.5625
2025,1,Monday,1,19,15,0.25
2025,1,Monday,1,15,6,0.824
2025,1,Monday,1,13,2,0.8277
2025,1,Monday,1,16,0,1.099
2025,1,Monday,1,19,16,0.25
2025,1,Monday,1,11,5,0.9375
2025,1,Monday,1,15,0,0.8085
2025,1,Monday,1,14,4,0.5858
2025,1,Monday,1,15,11,0.808
2025,1,Monday,1,10,5,0.7195
2025,1,Monday,1,17,1,0.674
2025,1,Monday,1,14,19,0.3647
2025,1,Monday,1,16,18,0.5
2025,1,Monday,1,12,10,1.2075
2025,1,Monday,1,16,12,0.5678
2025,1,Monday,1,3,12,0.2918
2025,1,Monday,1,9,1,0.2693
2025,1,Monday,1,12,0,0.9783
2025,1,Monday,1,6,0,0.625
2025,1,Monday,1,14,7,0.2955
2025,1,Monday,1,15,10,2.5475
2025,1,Monday,1,18,7,0.35
2025,1,Monday,1,10,4,1.149
2025,1,Monday,1,13,1,0.6028
2025,1,Monday,1,5,14,0.5755
2025,1,Monday,1,14,8,0.2858
2025,1,Monday,1,3,14,0.25
2025,1,Monday,1,18,10,0.5
2025,1,Monday,1,19,3,0.4642
2025,1,Monday,1,12,4,0.3215
2025,1,Monday,1,17,10,0.5698
2025,1,Monday,1,11,14,0.8392
2025,1,Monday,1,11,3,0.9793
2025,1,Monday,1,5,15,0.5755
2025,1,Monday,1,18,11,0.2693
2025,1,Monday,1,7,0,0.6363
2025,1,Monday,1,5,9,0.5493
2025,1,Monday,1,7,1,0.6015
2025,1,Monday,1,16,10,3.1573
2025,1,Monday,1,2,7,0.4168
2025,1,Monday,1,10,18,0.6018
2025,1,Monday,1,15,19,0.5695
2025,1,Monday,1,15,12,0.275
2025,1,Monday,1,19,10,1.5267
2025,1,Monday,1,16,1,1.451
2025,1,Monday,1,8,9,0.2813
2025,1,Monday,1,11,1,0.2813
2025,1,Monday,1,14,6,0.2648
2025,1,Monday,1,16,7,0.2813
2025,1,Monday,1,10,2,1.922
2025,1,Monday,1,14,13,0.5613
2025,1,Monday,1,19,8,0.4642
2025,1,Monday,1,10,17,0.9895
2025,1,Monday,1,14,18,1.4092
2025,1,Monday,1,10,1,3.2705
2025,1,Monday,1,8,10,1.625
2025,1,Monday,1,3,1,0.2777
2025,1,Monday,1,5,11,0.2955
2025,1,Monday,1,10,9,0.628
2025,1,Monday,1,4,19,1.257
2025,1,Monday,1,11,9,0.726
2025,1,Monday,1,14,1,0.3
2025,1,Monday,1,4,11,0.2885
2025,1,Monday,1,14,11,0.5482
2025,1,Monday,1,18,15,0.2918
2025,1,Monday,1,8,13,0.25
2025,1,Monday,1,4,14,1.0178
2025,1,Monday,1,6,11,0.2885
2025,1,Monday,1,16,4,0.3332
2025,1,Monday,1,3,0,0.2777
2025,1,Monday,1,19,17,0.2777
2025,1,Monday,1,18,1,0.35
2025,1,Monday,1,17,16,0.3927
2025,1,Monday,1,5,1,0.2693
2025,1,Monday,1,8,11,0.6
2025,1,Monday,1,12,2,0.28
2025,1,Monday,1,10,12,0.3115
2025,1,Monday,1,7,9,0.923
2025,1,Monday,1,15,18,0.9275
2025,1,Monday,1,15,5,1.0985
2025,1,Monday,1,10,13,1.031
2025,1,Monday,1,9,3,0.5832
2025,1,Monday,1,16,5,0.5857
2025,1,Monday,1,16,9,1.9123000000000001
2025,1,Monday,1,8,0,1.911
2025,1,Monday,1,19,9,0.25
2025,1,Monday,1,14,5,1.4827
2025,1,Monday,1,16,8,0.8305
2025,1,Monday,1,15,8,0.5875
2025,1,Monday,1,13,15,0.25
2025,1,Monday,1,10,16,0.3115
2025,1,Monday,1,8,14,0.3
2025,1,Monday,1,11,15,0.6393
2025,1,Monday,1,8,6,0.5715
2025,1,Monday,1,1,3,0.389
2025,1,Monday,1,15,13,0.5333
2025,1,Monday,1,0,5,0.6005
2025,1,Monday,1,1,11,0.639
2025,1,Monday,1,10,15,0.9342
2025,1,Monday,1,0,10,0.277
2025,1,Monday,1,2,4,0.2858
2025,1,Monday,1,5,2,0.5565
2025,1,Monday,1,6,14,0.375
2025,1,Monday,1,14,3,0.5357
2025,1,Monday,1,4,10,0.3077
2025,1,Monday,1,13,10,1.1125
2025,1,Monday,1,12,8,0.28
2025,1,Monday,1,14,2,0.8988
2025,1,Monday,1,0,19,0.277
2025,1,Monday,1,17,8,0.2813
2025,1,Monday,1,11,16,0.25
2025,1,Monday,1,16,3,0.3332
2025,1,Monday,1,17,14,0.5698
2025,1,Monday,1,9,4,0.2707
2025,1,Monday,1,0,8,0.384
2025,1,Monday,1,9,10,0.65
2025,1,Monday,1,13,17,0.2955
2025,1,Monday,1,11,10,1.2385
2025,1,Monday,1,0,2,0.384
2025,1,Monday,1,18,6,0.5385
2025,1,Monday,1,0,1,1.2035
2025,1,Monday,1,4,7,0.2885
2025,1,Monday,1,15,9,1.3413
2025,1,Monday,1,8,4,0.2693
2025,1,Monday,14,4,17,2.685
2025,1,Monday,1,5,17,0.2858
2025,1,Monday,1,17,13,0.2813
2025,1,Monday,1,9,19,0.3055
2025,1,Monday,1,6,10,0.2885
2025,1,Monday,1,15,14,0.2747
2025,1,Monday,1,4,0,0.3035
2025,1,Monday,1,10,3,1.0658
2025,1,Monday,1,16,6,0.2677
2025,1,Monday,1,16,14,1.9692
2025,1,Monday,1,1,6,0.2918
2025,1,Monday,1,5,3,0.577
2025,1,Monday,1,18,16,0.3438
2025,1,Monday,1,16,15,0.2955
2025,1,Monday,1,1,9,0.4
2025,1,Monday,1,13,3,0.3
2025,1,Monday,1,10,0,0.3877
2025,1,Monday,1,15,4,0.5493
2025,1,Monday,1,13,18,0.5732
2025,1,Monday,1,10,6,0.6447
2025,1,Monday,1,14,12,1.1512
2025,1,Monday,1,5,4,0.2955
2025,1,Monday,1,12,3,0.326
2025,1,Monday,1,12,6,0.6965
2025,1,Monday,1,15,2,1.1365
2025,1,Monday,1,5,6,0.5493
2025,1,Monday,1,16,17,0.275
2025,1,Monday,1,18,19,0.5938
2025,1,Monday,1,3,9,1.391
2025,1,Monday,1,12,1,1.95
2025,1,Monday,1,8,5,0.55
2025,1,Monday,1,8,12,1.3767
2025,1,Monday,1,13,14,0.5768
2025,1,Monday,1,17,19,0.25
2025,1,Monday,1,18,8,0.2918
2025,1,Monday,1,10,11,1.5132
2025,1,Monday,1,11,0,0.2813
2025,1,Monday,1,12,5,0.9228
2025,1,Monday,1,6,9,0.2885
2025,1,Monday,1,17,5,1.8985
2025,1,Monday,1,2,11,0.25
2025,1,Monday,1,5,10,0.2885
2025,1,Monday,1,11,17,0.3392
2025,1,Monday,1,10,19,1.6057
2025,1,Monday,1,18,12,0.5418
2025,1,Monday,1,11,4,0.5868
2025,1,Monday,1,4,1,0.915
2025,1,Monday,1,16,11,0.5443
2025,1,Monday,1,14,10,2.5493
2025,1,Monday,1,11,2,1.3887
2025,1,Monday,1,14,0,0.8515
2025,1,Monday,1,14,9,1.1955
2025,1,Monday,1,12,14,0.3035
2025,1,Monday,1,8,3,0.341
2025,1,Monday,1,14,17,0.3647
2025,1,Monday,1,13,16,1.1387
2025,1,Monday,13,16,10,44.2605
2025,1,Monday,13,1,18,8.3227
2025,1,Monday,13,8,0,14.431
2025,1,Monday,13,11,7,16.9683
2025,1,Monday,13,5,9,45.697
2025,1,Monday,13,8,1,9.1533
2025,1,Monday,13,11,10,40.0863
2025,1,Monday,13,17,1,2.282
2025,1,Monday,13,15,6,19.8092
2025,1,Monday,13,10,12,41.664
2025,1,Monday,13,4,6,13.826
2025,1,Monday,13,19,14,37.895
2025,1,Monday,13,4,17,2.7783
2025,1,Monday,13,19,18,16.1938
2025,1,Monday,13,6,16,23.8955
2025,1,Monday,13,8,6,34.252
2025,1,Monday,13,7,0,11.7722
2025,1,Monday,13,16,12,10.243
2025,1,Monday,13,12,10,50.8573
2025,1,Monday,13,2,9,7.4715
2025,1,Monday,13,15,1,2.633
2025,1,Monday,13,1,4,9.627
2025,1,Monday,13,5,1,22.0088
2025,1,Monday,13,3,12,2.546
2025,1,Monday,13,2,6,8.4622
2025,1,Monday,13,18,19,8.858
2025,1,Monday,13,2,4,6.158
2025,1,Monday,13,6,18,14.6742
2025,1,Monday,13,19,3,8.602
2025,1,Monday,13,19,16,16.8045
2025,1,Monday,13,1,9,8.605
2025,1,Monday,13,6,14,26.111
2025,1,Monday,13,0,14,22.5932
2025,1,Monday,13,5,6,23.9995
2025,1,Monday,13,8,13,18.216
2025,1,Monday,13,13,6,27.9673
2025,1,Monday,13,11,9,29.876
2025,1,Monday,13,8,4,18.9755
2025,1,Monday,13,14,5,57.159
2025,1,Monday,13,2,18,8.0983
2025,1,Monday,13,11,15,19.4255
2025,1,Monday,13,3,18,8.57
2025,1,Monday,13,19,2,2.7305
2025,1,Monday,13,5,0,32.5355
2025,1,Monday,13,4,14,18.7602
2025,1,Monday,13,1,10,14.984
2025,1,Monday,13,5,12,21.167
2025,1,Monday,13,5,15,19.7407
2025,1,Monday,13,5,11,27.891
2025,1,Monday,13,13,9,28.4993
2025,1,Monday,13,16,1,2.2802
2025,1,Monday,13,18,6,15.3688
